"claim_amount","age","kids_driven","homekids","years_on_job","income","parent","home_value","marriage_status","gender","education","occupation","travel_time","car_use","bluebook","total_insurable_value","car_type","red_car","old_claim","claim_frequency","revoked","mvr_points","car_age","claim_flag","urbanicity"
2946,34,0,1,12,125301,"Yes",0,"No","F","Bachelors","Blue Collar",46,"Commercial",17430,1,"Sports Car","no",0,0,"No",0,7,1,"Highly Urban/ Urban"
6477,40,1,1,11,50815,"Yes",0,"No","M","High School","Manager",21,"Private",18930,6,"Minivan","no",3295,1,"No",2,1,1,"Highly Urban/ Urban"
2501,34,0,0,10,62978,"No",0,"No","F","Bachelors","Clerical",34,"Private",11200,1,"SUV","no",0,0,"No",0,1,1,"Highly Urban/ Urban"
6077,53,0,0,14,77100,"No",0,"No","F","Masters","Lawyer",15,"Private",18300,1,"Sports Car","no",0,0,"No",0,11,1,"Highly Urban/ Urban"
1267,53,0,0,11,130795,"No",0,"No","M","PhD","",64,"Commercial",28340,6,"Panel Truck","yes",0,0,"No",3,10,1,"Highly Urban/ Urban"
2920,45,0,0,0,0,"No",106859,"Yes","F","<High School","Home Maker",48,"Private",6000,1,"SUV","no",0,0,"No",3,5,1,"Highly Urban/ Urban"
4111,59,0,0,12,87460,"No",0,"No","M","High School","Manager",45,"Private",15420,1,"Minivan","yes",44857,2,"No",4,1,1,"Highly Urban/ Urban"
6857,28,0,1,13,44077,"No",170598,"Yes","F","High School","Blue Collar",29,"Commercial",8710,6,"SUV","no",8935,2,"No",0,1,1,"Highly Urban/ Urban"
5247,60,0,0,12,37940,"No",182739,"Yes","F","High School","Blue Collar",16,"Commercial",11290,1,"Sports Car","no",0,0,"No",0,1,1,"Highly Urban/ Urban"
4486,32,0,1,9,31275,"No",118160,"Yes","F","High School","Clerical",26,"Private",10030,1,"SUV","no",0,0,"No",0,1,1,"Highly Urban/ Urban"
6100,40,0,0,11,16989,"No",0,"No","M","<High School","Blue Collar",20,"Commercial",12230,4,"Pickup","yes",26104,1,"Yes",13,6,1,"Highly Urban/ Urban"
8841,44,0,2,15,16352,"No",134164,"Yes","F","High School","Home Maker",37,"Private",10520,1,"SUV","no",7838,1,"No",1,1,1,"Highly Urban/ Urban"
2117,45,1,1,14,63952,"No",196368,"Yes","F","Masters","Lawyer",50,"Private",32340,6,"Van","no",27877,2,"Yes",0,13,1,"Highly Urban/ Urban"
1230,34,0,3,12,22510,"No",123888,"Yes","M","High School","Clerical",26,"Private",14690,4,"Minivan","yes",0,0,"Yes",0,1,1,"Highly Rural/ Rural"
866,33,0,4,12,20822,"No",76022,"Yes","F","High School","Home Maker",46,"Private",6880,13,"SUV","no",7896,3,"No",0,1,1,"Highly Urban/ Urban"
7786,34,0,0,8,14194,"No",87034,"No","F","<High School","Clerical",13,"Private",2920,4,"Sports Car","no",24767,3,"Yes",2,10,1,"Highly Urban/ Urban"
4148,43,2,3,11,137103,"Yes",0,"No","F","Masters","Manager",29,"Private",19510,1,"Sports Car","no",8890,3,"No",0,15,1,"Highly Urban/ Urban"
2371,45,1,2,11,102393,"Yes",0,"No","M","Bachelors","Professional",25,"Private",1500,1,"Minivan","yes",0,0,"No",2,11,1,"Highly Urban/ Urban"
4178,62,0,0,15,40656,"No",208242,"Yes","F","High School","Clerical",57,"Private",9170,4,"Sports Car","no",42342,2,"Yes",2,7,1,"Highly Urban/ Urban"
1354,48,0,0,12,31773,"No",165090,"Yes","M","High School","Clerical",14,"Commercial",9640,13,"Pickup","no",1212,1,"No",4,1,1,"Highly Urban/ Urban"
2425,53,0,0,6,38036,"No",153381,"Yes","F","High School","Blue Collar",32,"Commercial",13140,1,"SUV","no",0,0,"No",4,1,1,"Highly Urban/ Urban"
5711,34,0,3,0,0,"No",66358,"Yes","F","High School","Home Maker",25,"Private",11740,9,"SUV","no",1800,2,"No",2,1,1,"Highly Urban/ Urban"
13105,41,0,0,10,66265,"No",159276,"Yes","M","Masters","Lawyer",59,"Private",12230,4,"Minivan","yes",0,0,"No",1,9,1,"Highly Urban/ Urban"
